年,週番号,開始日,終了日,保健所,インフルエンザ,RSウイルス感染症,咽頭結膜熱,Ａ群溶血性レンサ球菌咽頭炎,感染性胃腸炎,水痘,手足口病,伝染性紅斑,突発性発しん,百日咳,ヘルパンギ｜ナ,流行性耳下腺炎,不明発しん症,川崎病,急性出血性結膜炎,流行性角結膜炎,細菌性髄膜炎*,無菌性髄膜炎,マイコプラズマ肺炎,クラミジア肺炎(オウム病は除く),感染性胃腸炎／ロタウイルス,インフルエンザ入院,新型コロナウイルス感染症／COVID|19,COVID|19入院,急性呼吸器感染症／ARI
2021,11,2021-03-15,2021-03-21,島しょ,,,,,,,,,,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,報告数/定点数,0.0,0.06,0.09,0.36,2.57,0.09,0.02,0.01,0.46,,0.02,0.04,0.02,0.01,,0.08,,0.04,0.04,0.04,,,,,
2021,12,2021-03-22,2021-03-28,千代田,,,,,0.67,0.67,,,,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,中央区,,,,,2.33,,0.33,,1.67,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,みなと,,,,0.5,1.0,0.5,,,,,,,,0.17,,,,,1.0,1.0,,,,,
2021,12,2021-03-22,2021-03-28,新宿区,,,,1.29,2.43,,,,0.71,,,,,0.14,,,,0.5,,,,,,,
2021,12,2021-03-22,2021-03-28,文京,,,0.25,0.25,2.0,,0.25,,1.25,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,台東,,,0.25,0.25,13.0,,0.25,,0.75,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,墨田区,,,,0.2,0.6,,0.2,,0.6,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,江東区,,,,0.33,4.44,0.11,,,0.56,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,品川区,,0.13,0.13,0.13,3.75,,,,0.13,,,,0.13,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,目黒区,,,,0.6,3.2,,,,,,,0.2,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,大田区,,1.0,,0.38,3.38,0.15,0.08,0.08,0.54,,,,0.08,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,世田谷,,,0.13,0.06,1.75,0.13,,,0.19,,,0.06,0.06,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,渋谷区,,,,0.25,1.0,0.25,,,0.25,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,中野区,,,,0.5,2.83,,0.17,,0.33,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,杉並,,,0.09,0.45,1.82,,,,0.36,,,,,0.09,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,池袋,,,0.4,,2.4,,,,,,0.8,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,北区,,,,,1.43,0.43,,,0.57,,0.14,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,荒川区,,,0.25,0.25,2.75,,,,1.5,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,板橋区,,,,,3.6,0.1,,,0.6,,,,0.2,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,練馬区,,,,0.46,3.23,0.23,,,0.62,,,0.08,,,,1.5,,,,,,,,,
2021,12,2021-03-22,2021-03-28,足立,,,0.31,0.23,1.85,0.15,,,0.23,,,0.08,0.08,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,葛飾区,,,,0.13,3.0,,,0.13,0.63,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,江戸川,,,0.5,0.17,2.92,,,,0.25,,,0.08,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,八王子市,,,,0.4,3.0,0.1,,,0.1,,,0.3,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,町田市,,,,1.5,2.75,,,,0.63,,,0.25,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,西多摩,,0.13,,0.5,1.25,0.13,,,0.38,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,南多摩,,,0.11,0.33,1.33,0.11,,,0.44,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,多摩立川,0.05,,,0.07,1.57,0.07,,,0.36,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,多摩府中,,,,0.47,1.88,,,,0.47,,,0.06,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,多摩小平,,,0.14,0.79,3.21,,,,0.79,,,,,,,,,,,,,,,,
2021,12,2021-03-22,2021-03-28,島しょ,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,報告数/定点数,,0.1,0.07,0.3,2.39,0.1,0.02,0.02,0.42,,0.01,0.04,0.06,0.02,,0.05,,0.12,,0.12,0.08,,,,
2021,13,2021-03-29,2021-04-04,千代田,,,,,1.0,0.33,,,0.33,,,,0.33,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,中央区,,,,0.33,2.67,,,,0.67,,,0.33,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,みなと,,,,0.5,2.0,0.33,,,0.5,,,0.33,,,,,,,,3.0,,,,,
2021,13,2021-03-29,2021-04-04,新宿区,,,,0.14,2.43,,,,0.14,,,,,,,,,0.5,,,,,,,
2021,13,2021-03-29,2021-04-04,文京,,,,0.25,3.5,0.5,,,0.25,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,台東,,,,,6.5,0.25,,,0.75,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,墨田区,,,,,1.6,0.4,,,,,,,0.2,,,,,,,,1.0,,,,
2021,13,2021-03-29,2021-04-04,江東区,,,,0.56,3.11,,,,0.78,,,,,0.11,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,品川区,,0.5,0.25,0.13,2.25,,,,0.13,,,0.13,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,目黒区,,,,,5.2,0.4,,,0.2,,,0.2,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,大田区,,1.23,,0.31,3.15,,0.08,0.08,0.62,,,0.08,0.08,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,世田谷,,,,0.19,2.31,,,0.06,0.38,,,0.06,0.19,0.13,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,渋谷区,,,,0.25,0.75,,,,0.25,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,中野区,,0.33,,0.33,0.83,,,,0.33,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,杉並,,,,0.27,1.55,,,,0.73,,,,0.09,0.18,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,池袋,,,,0.2,1.6,,,,,,0.2,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,北区,,,,0.14,2.57,,,,1.43,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,荒川区,,,0.5,0.25,2.75,0.25,,,1.0,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,板橋区,,,,0.1,3.5,0.1,,,0.3,,,,0.2,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,練馬区,,,0.15,0.77,2.92,0.31,,,0.46,,,,0.08,,,1.0,,,,,,,,,
2021,13,2021-03-29,2021-04-04,足立,,0.08,0.23,0.46,2.08,0.08,,,,,0.08,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,葛飾区,,,,0.13,3.63,,0.13,,0.63,,,,0.13,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,江戸川,,,0.25,0.17,2.25,0.25,,,0.42,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,八王子市,,,0.2,0.4,1.6,,0.1,,0.2,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,町田市,,,,0.63,1.88,,,,0.5,,,,0.13,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,西多摩,,0.14,,0.29,1.57,0.14,,,0.29,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,南多摩,,,,0.67,1.78,0.11,0.11,,0.56,,,,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,多摩立川,,0.07,,,2.29,,,0.07,0.14,,,0.07,,,,,,,,,1.0,,,,
2021,13,2021-03-29,2021-04-04,多摩府中,,,0.05,0.35,1.6,0.1,0.05,0.1,0.35,,,0.05,0.2,,,,,0.67,,,,,,,
2021,13,2021-03-29,2021-04-04,多摩小平,,,0.14,0.43,3.0,0.07,,0.07,0.57,,,0.07,,,,,,,,,,,,,
2021,13,2021-03-29,2021-04-04,島しょ,,,,,,,,,,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,報告数/定点数,0.0,0.14,0.07,0.32,2.56,0.08,0.02,0.02,0.46,,0.02,0.07,0.03,0.01,,0.13,,,,0.04,,,,,
2021,14,2021-04-05,2021-04-11,千代田,,,,,0.33,,,,,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,中央区,,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,みなと,0.11,,,0.33,2.17,0.17,,,0.17,,,,,,,,,,,1.0,,,,,
2021,14,2021-04-05,2021-04-11,新宿区,,0.14,,0.71,2.86,,,,0.14,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,文京,,,,0.25,1.75,,0.25,,0.25,,,0.25,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,台東,,,,,10.5,0.5,,,1.25,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,墨田区,,,,0.2,2.6,0.2,,,0.6,,,,,,,1.0,,,,,,,,,
2021,14,2021-04-05,2021-04-11,江東区,,,,0.11,4.78,,,0.11,0.22,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,品川区,,,,0.13,2.25,,,,0.63,,,,0.13,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,目黒区,,,,,3.8,0.2,,,0.4,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,大田区,,2.31,,0.08,2.54,,,,0.31,,,,0.08,0.08,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,世田谷,,,0.06,0.19,2.25,,,,0.44,,,0.13,0.06,,,0.5,,,,,,,,,
2021,14,2021-04-05,2021-04-11,渋谷区,,,,,1.5,,,,0.75,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,中野区,,,0.17,0.33,1.17,,,,1.17,,,0.17,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,杉並,,0.18,,0.27,1.0,0.09,,,0.36,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,池袋,,,,0.2,1.2,,,,,,0.6,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,北区,,,,0.14,1.43,,,,0.86,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,荒川区,,,,0.5,1.5,,,,1.25,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,板橋区,,,,0.4,2.8,,0.1,0.2,0.2,,,,0.1,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,練馬区,,,,0.77,3.46,0.08,,,0.92,,,0.08,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,足立,,,0.23,0.31,1.54,0.08,,,,,,0.15,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,葛飾区,,0.25,,0.25,2.88,0.13,0.13,,0.25,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,江戸川,,,0.17,0.42,2.5,0.33,0.08,,0.17,,,0.08,,,,0.5,,,,,,,,,
2021,14,2021-04-05,2021-04-11,八王子市,,,0.2,0.3,5.7,0.1,0.1,0.1,0.6,,,0.5,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,町田市,,0.13,,1.63,1.63,0.13,,,0.5,,,,,,,1.0,,,,,,,,,
2021,14,2021-04-05,2021-04-11,西多摩,,,0.38,0.75,1.38,,,,0.38,,,0.13,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,南多摩,,,0.11,,2.33,,,,0.67,,,,,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,多摩立川,,0.07,0.07,0.07,2.21,,0.07,,0.5,,,,0.07,,,0.5,,,,,,,,,
2021,14,2021-04-05,2021-04-11,多摩府中,,,0.05,0.32,2.21,0.21,,,0.37,,0.11,0.05,0.05,0.05,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,多摩小平,,,0.14,0.29,2.29,0.07,,,0.43,,,0.14,0.07,,,,,,,,,,,,
2021,14,2021-04-05,2021-04-11,島しょ,,,,,,,,,,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,報告数/定点数,,0.29,0.06,0.32,3.18,0.05,,0.01,0.47,,0.01,0.05,0.02,0.02,,0.26,,,,,,,,,
2021,15,2021-04-12,2021-04-18,千代田,,,,0.33,1.0,,,,1.0,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,中央区,,,,0.33,7.33,,,,1.0,,,,,,,1.0,,,,,,,,,
2021,15,2021-04-12,2021-04-18,みなと,,,0.17,0.67,2.83,,,,0.33,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,新宿区,,,,0.43,4.71,,,,0.29,,0.14,,,0.14,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,文京,,,,0.25,2.75,,,,0.25,,,0.25,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,台東,,,,0.25,8.25,,,,1.0,,,0.25,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,墨田区,,,,,3.2,0.2,,,0.6,,,,,,,5.0,,,,,,,,,
2021,15,2021-04-12,2021-04-18,江東区,,,,0.44,7.33,0.11,,,0.33,,,0.11,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,品川区,,1.38,0.13,0.13,2.25,,,,0.63,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,目黒区,,,,0.4,2.2,,,,0.2,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,大田区,,3.62,,0.46,2.77,,,,0.23,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,世田谷,,0.06,,0.13,2.31,,,,0.19,,,0.06,0.06,0.06,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,渋谷区,,,,,2.0,0.25,,,0.25,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,中野区,,0.17,,,1.33,0.17,,,1.0,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,杉並,,0.09,,0.09,3.27,0.09,,,0.55,,,0.09,,0.09,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,池袋,,1.0,0.4,,1.8,,,,,,,,,,,1.0,,,,,,,,,
2021,15,2021-04-12,2021-04-18,北区,,0.14,,,1.71,,,,1.0,,,,,0.14,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,荒川区,,,,0.75,1.75,,,,1.25,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,板橋区,,,,,2.4,,,0.1,0.3,,,,0.1,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,練馬区,,,0.15,1.0,5.54,,,0.08,0.54,,,0.15,0.08,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,足立,,0.08,0.38,0.31,2.31,,,0.08,0.46,,,,0.08,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,葛飾区,,,,0.38,3.75,0.13,,,,,0.13,,,0.13,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,江戸川,,0.08,,0.42,3.75,0.08,,,0.42,,,,,,,0.5,,,,,,,,,
2021,15,2021-04-12,2021-04-18,八王子市,,,0.3,0.2,3.5,0.1,,,0.4,,,0.1,,,,0.5,,,,,,,,,
2021,15,2021-04-12,2021-04-18,町田市,,0.13,,0.63,4.0,,,,0.5,,,0.25,,0.13,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,西多摩,,0.38,0.13,0.25,1.25,,,,,,,,0.13,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,南多摩,,0.11,,0.22,2.44,,,,0.33,,,0.22,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,多摩立川,,0.07,,0.14,2.21,0.14,,,0.43,,,,,,,0.5,,,,,,,,,
2021,15,2021-04-12,2021-04-18,多摩府中,,,,0.45,2.85,0.15,,,0.8,,,,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,多摩小平,,0.07,,0.43,3.93,,,,0.64,,,0.07,,,,,,,,,,,,,
2021,15,2021-04-12,2021-04-18,島しょ,,,,,,,,,,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,報告数/定点数,,0.24,0.09,0.34,3.95,0.08,0.01,0.02,0.61,,0.01,0.06,0.02,0.02,,0.21,,,,0.04,,,,,
2021,16,2021-04-19,2021-04-25,千代田,,,,,,,,,,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,中央区,,0.67,,,9.33,,,,1.67,,,,,,,1.0,,,,,,,,,
2021,16,2021-04-19,2021-04-25,みなと,,,,0.17,3.5,,,0.17,0.33,,,,,,,,,,,1.0,,,,,
2021,16,2021-04-19,2021-04-25,新宿区,,0.43,0.14,0.71,3.43,0.29,,,0.29,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,文京,,,,,3.75,,,,1.25,,,,,,,1.0,,,,,,,,,
2021,16,2021-04-19,2021-04-25,台東,,,,1.0,11.0,,,,0.75,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,墨田区,,,,,1.8,0.2,,,0.6,,,,,,,1.0,,,,,,,,,
2021,16,2021-04-19,2021-04-25,江東区,,0.22,,0.33,9.78,0.22,,,1.0,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,品川区,,1.38,0.13,,2.5,,,,0.63,,,,,,,1.0,,,,,,,,,
2021,16,2021-04-19,2021-04-25,目黒区,,0.4,,,4.0,,,0.4,0.4,,,0.8,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,大田区,,2.46,0.23,0.23,5.77,0.08,,0.08,0.92,,,0.08,0.08,,,0.5,,,,,,,,,
2021,16,2021-04-19,2021-04-25,世田谷,,0.06,0.06,0.31,2.0,0.06,0.06,0.13,0.38,,,0.19,,,,0.5,,,,,,,,,
2021,16,2021-04-19,2021-04-25,渋谷区,,0.25,,0.5,3.25,,,,,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,中野区,,,0.17,,2.17,,,,0.33,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,杉並,,0.1,,0.2,3.2,0.1,,,0.3,,,0.2,0.1,0.2,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,池袋,,,0.2,,2.0,,,,0.2,,,,,0.2,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,北区,,,,,1.29,0.43,,,0.57,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,荒川区,,0.25,,0.5,2.75,,,,1.25,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,板橋区,,,,0.2,3.9,,,,0.5,,,,,,,0.5,,,,,,,,,
2021,16,2021-04-19,2021-04-25,練馬区,,,0.08,1.0,6.46,0.08,,,0.62,,,,0.08,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,足立,,0.08,0.23,0.23,3.62,,,,0.69,,0.08,,0.08,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,葛飾区,,,,0.13,4.63,0.13,0.13,,0.88,,,,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,江戸川,,,0.17,0.67,2.92,,,,0.33,,,0.08,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,八王子市,,,0.1,0.4,7.3,0.2,,,0.7,,,0.2,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,町田市,,0.13,,1.5,4.38,0.13,,,0.13,,,0.13,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,西多摩,,0.38,0.38,0.13,0.75,,,,0.5,,,,0.13,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,南多摩,,0.11,,0.11,2.33,,0.11,,0.56,,,0.11,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,多摩立川,,,0.14,0.14,2.93,,,,0.71,,0.07,,0.07,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,多摩府中,,,,0.11,3.94,0.11,,,0.78,,,,,0.11,,0.33,,,,,,,,,
2021,16,2021-04-19,2021-04-25,多摩小平,,,0.29,0.86,3.71,0.14,,,1.07,,,0.07,,,,,,,,,,,,,
2021,16,2021-04-19,2021-04-25,島しょ,,,,,9.0,,,,,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,報告数/定点数,,0.32,0.11,0.35,3.89,0.14,0.02,0.02,0.56,,0.01,0.05,0.04,0.0,,0.13,,,,,,,,,
2021,17,2021-04-26,2021-05-02,千代田,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,中央区,,,,0.33,5.67,,,,0.67,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,みなと,,0.17,,0.17,3.67,,,,0.17,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,新宿区,,0.14,0.14,0.57,2.86,,,,0.29,,0.29,,,0.14,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,文京,,,,0.25,1.75,0.5,,,1.5,,,,,,,1.0,,,,,,,,,
2021,17,2021-04-26,2021-05-02,台東,,,,0.25,11.5,0.5,0.5,,0.75,,,0.25,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,墨田区,,,,,2.4,0.2,,,0.4,,,0.2,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,江東区,,,,0.11,9.67,0.78,,,0.67,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,品川区,,1.75,,,3.0,,,,0.5,,,,,,,1.0,,,,,,,,,
2021,17,2021-04-26,2021-05-02,目黒区,,1.2,,1.4,2.2,,,,0.4,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,大田区,,2.69,0.08,0.23,6.23,0.08,,,0.54,,,0.08,0.15,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,世田谷,,0.56,0.06,0.38,2.5,,,0.06,0.31,,,0.13,0.13,,,0.5,,,,,,,,,
2021,17,2021-04-26,2021-05-02,渋谷区,,,,,2.75,,,,0.5,,,,,,,1.0,,,,,,,,,
2021,17,2021-04-26,2021-05-02,中野区,,0.17,0.33,,2.17,0.5,,,0.5,,,0.17,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,杉並,,0.27,0.18,0.27,2.73,0.09,,,0.36,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,池袋,,0.2,0.4,,2.0,,,,,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,北区,,,,0.43,2.14,,,,1.0,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,荒川区,,,0.25,2.0,1.5,0.25,,,0.5,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,板橋区,,,,,3.4,,,0.1,0.2,,,0.1,0.1,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,練馬区,,,,1.31,5.69,0.08,,0.15,0.69,,,0.08,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,足立,,0.23,0.15,0.08,3.0,0.31,,,0.31,,0.08,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,葛飾区,,,,0.25,5.0,0.13,0.25,,0.88,,,,0.13,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,江戸川,,,0.08,0.25,4.25,,0.08,,0.67,,,,0.08,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,八王子市,,0.1,0.5,0.3,4.0,0.6,,,1.2,,,,,,,0.5,,,,,,,,,
2021,17,2021-04-26,2021-05-02,町田市,,0.25,,0.13,5.75,,,,0.38,,,0.13,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,西多摩,,0.25,,0.13,1.0,,,,0.13,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,南多摩,,,,0.44,4.0,,,,0.67,,,0.11,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,多摩立川,,0.07,0.07,0.29,3.57,0.14,,,0.5,,,,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,多摩府中,,0.06,0.06,0.53,4.06,0.24,,,0.88,,,0.06,,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,多摩小平,,,0.5,0.5,3.64,0.07,0.07,,0.93,,,0.14,0.21,,,,,,,,,,,,
2021,17,2021-04-26,2021-05-02,島しょ,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,報告数/定点数,,0.22,0.09,0.2,2.02,0.1,0.02,0.02,0.33,,0.01,0.04,0.02,0.01,,0.03,0.08,,0.04,0.04,,,,,
2021,18,2021-05-03,2021-05-09,千代田,,,,,,,,,0.33,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,中央区,,,,,5.33,,,0.33,,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,みなと,,0.17,,,1.0,,,,0.17,,,,,,,,,,1.0,1.0,,,,,
2021,18,2021-05-03,2021-05-09,新宿区,,0.14,,0.57,1.71,,,,0.14,,0.14,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,文京,,,,,3.0,,,,0.75,,,0.25,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,台東,,,0.5,0.25,3.75,0.25,0.25,0.25,0.75,,,0.25,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,墨田区,,0.2,0.2,,1.0,,,,0.6,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,江東区,,0.44,0.22,0.22,3.44,0.11,,0.11,0.33,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,品川区,,0.38,,,1.38,,,,0.38,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,目黒区,,2.0,,,3.0,0.6,,,,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,大田区,,1.69,0.15,,3.38,0.23,,,0.38,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,世田谷,,0.13,0.06,0.06,1.81,0.19,,,0.13,,,0.19,0.06,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,渋谷区,,,,,1.5,,0.25,,0.25,,,,0.25,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,中野区,,,,0.17,5.0,0.17,,,0.5,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,杉並,,,,,1.18,,,0.09,0.27,,0.09,,0.09,0.09,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,池袋,,,,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,北区,,,,0.43,1.29,,,,0.57,,0.14,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,荒川区,,1.5,,,3.0,0.75,,,0.5,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,板橋区,,,,0.1,2.6,0.2,,0.2,,,,,,,,,,,,,,,,,
2021,18,2021-05-03,2021-05-09,練馬区,,,0.23,1.62,2.77,0.15,,,0.54,,,0.08,,,,,,,,,,,,,
